0.000000000000000e+00 1.273073579064268e-16 -1.236891528534944e-17
1.600000000000000e-01 5.146533064486540e-07 1.523137311288192e-06
3.200000000000000e-01 8.380080917433972e-06 6.541385671570552e-06
4.800000000000000e-01 7.423960691899045e-06 9.437875425123948e-05
6.400000000000000e-01 6.399289311707394e-06 3.560340843195311e-04
8.000000000000000e-01 7.349439440993278e-06 8.659859502858086e-04
9.600000000000000e-01 2.661525630932194e-05 1.635749257849263e-03
1.120000000000000e+00 7.519878173598791e-05 2.594686570542905e-03
1.280000000000000e+00 1.557725305980059e-04 3.609997864485936e-03
1.440000000000000e+00 2.584240895704220e-04 4.527122760445321e-03
1.600000000000000e+00 3.612950899436038e-04 5.222901094544569e-03
1.760000000000000e+00 4.360652393722345e-04 5.650773725070156e-03
1.920000000000000e+00 4.568792807867056e-04 5.859175871326467e-03
2.080000000000000e+00 4.099601374613056e-04 5.972207443336297e-03
2.240000000000000e+00 3.006185902511002e-04 6.134044969321266e-03
2.400000000000000e+00 1.548793369758844e-04 6.431575730925369e-03
2.560000000000000e+00 1.442175452857111e-05 6.819154837432777e-03
2.720000000000000e+00 -7.440410451703503e-05 7.071893284255973e-03
2.880000000000000e+00 -7.470133735938949e-05 6.788165462268281e-03
3.040000000000000e+00 2.779591637961837e-05 5.449292053688572e-03
3.200000000000000e+00 2.166410955941401e-04 2.528102371567773e-03
3.360000000000000e+00 4.445480010936312e-04 -2.376922238511224e-03
3.520000000000000e+00 6.417849863057179e-04 -9.414404602757975e-03
3.680000000000000e+00 7.311118379680982e-04 -1.839265509451021e-02
3.840000000000000e+00 6.453325185409882e-04 -2.875639097598732e-02
4.000000000000000e+00 3.428237705214776e-04 -3.963654820752915e-02
4.160000000000000e+00 -1.828950826145296e-04 -4.996428164744226e-02
4.320000000000000e+00 -9.016733400544182e-04 -5.862469953642397e-02
4.480000000000000e+00 -1.753170027830158e-03 -6.461668457218483e-02
4.640000000000000e+00 -2.659051176886459e-03 -6.718456125003201e-02
4.800000000000000e+00 -3.537526962894390e-03 -6.589534965907771e-02
4.960000000000000e+00 -4.316569827135415e-03 -6.064971172812565e-02
5.120000000000000e+00 -4.942835140293812e-03 -5.163169515060249e-02
5.280000000000000e+00 -5.384635782258766e-03 -3.921762178324718e-02
5.440000000000000e+00 -5.628943260399835e-03 -2.387399244985379e-02
5.600000000000000e+00 -5.673933469078112e-03 -6.075569068214950e-03
5.760000000000000e+00 -5.519726322824230e-03 1.373252787211907e-02
5.920000000000000e+00 -5.160410213239224e-03 3.511885024293958e-02
6.080000000000000e+00 -4.580043716547499e-03 5.760273869319781e-02
6.240000000000000e+00 -3.754138937017750e-03 8.056645471242668e-02
6.400000000000000e+00 -2.656450695171626e-03 1.031732078868480e-01
6.560000000000000e+00 -1.269224402931450e-03 1.243224073369550e-01
6.720000000000000e+00 4.060523958056235e-04 1.426653451604643e-01
6.880000000000000e+00 2.340497723588133e-03 1.566901115191059e-01
7.040000000000000e+00 4.474514604198528e-03 1.648677289417114e-01
7.200000000000000e+00 6.726010088788753e-03 1.660092712482583e-01
7.360000000000000e+00 8.915255600949530e-03 1.577968337104632e-01
7.520000000000000e+00 1.123902614118002e-02 1.440224074872395e-01
7.680000000000000e+00 1.275775208321094e-02 1.170165597595334e-01
7.840000000000000e+00 1.466079893973748e-02 8.644738263857545e-02
8.000000000000000e+00 1.495814655823063e-02 4.715654891554263e-02
