0.000000000000000e+00 0.000000000000000e+00 1.110223024625157e-16
1.600000000000000e-01 7.809037267683982e-03 9.606635750580850e-05
3.200000000000000e-01 1.479003785840729e-02 3.576287555370761e-04
4.800000000000000e-01 2.031721203528866e-02 7.691162757155756e-04
6.400000000000000e-01 2.379523227612228e-02 1.224440191180926e-03
8.000000000000000e-01 2.492288561714719e-02 1.677367496046550e-03
9.600000000000000e-01 2.356103789476120e-02 2.059796636432423e-03
1.120000000000000e+00 1.980986457617779e-02 2.335338276053547e-03
1.280000000000000e+00 1.389871233053322e-02 2.482249754473791e-03
1.440000000000000e+00 6.212244673506929e-03 2.495802656290562e-03
1.600000000000000e+00 -2.780830171507331e-03 2.374350661146857e-03
1.760000000000000e+00 -1.253078220535709e-02 2.113213461478969e-03
1.920000000000000e+00 -2.242996422176384e-02 1.700157385094769e-03
2.080000000000000e+00 -3.182176513278669e-02 1.119316476248411e-03
2.240000000000000e+00 -4.002209489519347e-02 3.613295530486560e-04
2.400000000000000e+00 -4.635428562322938e-02 -5.626647152624786e-04
2.560000000000000e+00 -5.020267670036652e-02 -1.608131282154784e-03
2.720000000000000e+00 -5.108007041270938e-02 -2.690464379530272e-03
2.880000000000000e+00 -4.869878362704463e-02 -3.688520236864196e-03
3.040000000000000e+00 -4.303045596118828e-02 -4.459736615133519e-03
3.200000000000000e+00 -3.433957522490837e-02 -4.864892459343795e-03
3.360000000000000e+00 -2.317954669492094e-02 -4.797410790695664e-03
3.520000000000000e+00 -1.034743993584346e-02 -4.210117992424822e-03
3.680000000000000e+00 3.197624622447128e-03 -3.132269662753018e-03
3.840000000000000e+00 1.643944406648926e-02 -1.671650093597168e-03
4.000000000000000e+00 2.841497053371249e-02 -2.118958360719514e-07
4.160000000000000e+00 3.831100272994171e-02 1.673964620214491e-03
4.320000000000000e+00 4.553233626851884e-02 3.141932966109401e-03
4.480000000000000e+00 4.973366166620304e-02 4.227999923615847e-03
4.640000000000000e+00 5.081617077452269e-02 4.814813714730415e-03
4.800000000000000e+00 4.889743941182777e-02 4.854228985784276e-03
4.960000000000000e+00 4.426762294112303e-02 4.362826969580791e-03
5.120000000000000e+00 3.734528078932882e-02 3.405168872448405e-03
5.280000000000000e+00 2.864250013776673e-02 2.070971704617092e-03
5.440000000000000e+00 1.874285014117294e-02 4.535939299149944e-04
5.600000000000000e+00 8.289150314559717e-03 -1.363730586392831e-03
5.760000000000000e+00 -2.026856547849917e-03 -3.310213240030918e-03
5.920000000000000e+00 -1.148263244506068e-02 -5.318429490701861e-03
6.080000000000000e+00 -1.935871374633530e-02 -7.307607080388930e-03
6.240000000000000e+00 -2.499150841816028e-02 -9.165770800383992e-03
6.400000000000000e+00 -2.784184957906848e-02 -1.073816748031602e-02
6.560000000000000e+00 -2.756996505546495e-02 -1.182820542765218e-02
6.720000000000000e+00 -2.410325729009695e-02 -1.221402752601097e-02
6.880000000000000e+00 -1.768213192802039e-02 -1.167955317893446e-02
7.040000000000000e+00 -8.871476264653722e-03 -1.005453012411038e-02
7.200000000000000e+00 1.548729285088040e-03 -7.265372676093035e-03
7.360000000000000e+00 1.180874608736411e-02 -3.296417993411002e-03
7.520000000000000e+00 2.326420025471557e-02 1.638427824140073e-03
7.680000000000000e+00 2.920846214305195e-02 7.017785237115562e-03
7.840000000000000e+00 3.627726722172482e-02 1.325102612746042e-02
8.000000000000000e+00 3.482327643915346e-02 1.791374328912667e-02
